Index,long,lat,B04,B02,SCL,B03,B08
0,-120.96012778569894,40.55527781468857,510,291,4,452,1732
1,-121.19251157034941,40.168990282416786,394,250,4,378,1817
2,-121.15474969268766,40.0716397686962,369,230,4,521,2655
3,-121.7693750098431,40.24548034397307,241,183,4,295,1985
4,-121.177963156973,39.88669153535598,220,258,6,258,169
5,-121.61937653607472,40.57323757988562,290,260,4,390,2754
6,-120.58869608519073,39.999619134722295,271,155,4,311,2078
7,-121.53988808239271,40.163082567554305,874,453,4,894,2985
8,-121.23516902776696,40.058929293462704,1118,401,5,636,2103
9,-121.68520356464738,40.232932915840905,1174,728,5,939,2746
10,-121.43038262016037,40.063901429391606,374,250,4,368,1889
11,-120.81974706265429,39.794743947894695,193,158,4,346,2966
12,-121.53013315740625,39.93430534887489,844,431,5,764,2551
13,-121.58037973552204,40.39457459588632,698,448,4,558,2036
14,-120.7633839488682,39.728446274021366,482,274,4,470,1985
15,-121.7992380147912,40.3982259263314,658,389,4,644,2287
16,-121.4714207008567,40.22102726091605,369,323,4,507,3531
17,-121.60702835635472,39.94561569084099,232,196,4,433,2611
18,-121.67010030708961,40.50545764222542,777,475,4,675,2796
19,-121.40506212879646,40.289319451677095,604,378,4,541,2393
20,-120.78843483609822,40.1437774518207,695,400,4,636,2577
21,-120.58937327230652,39.83360639287547,644,397,4,620,2431
22,-120.60234963265356,39.70225810422924,245,142,4,276,2069
23,-120.84963030321612,39.70890529685363,294,188,4,309,2017
24,-120.93628199527636,40.3970317304005,362,253,4,417,2301
25,-121.0101588259625,39.772850974993155,1178,797,2,996,1483
26,-121.09407006323671,40.14083543428441,1554,1042,5,1566,2366
27,-121.00368976856551,39.7623793072225,675,351,4,626,2614
28,-120.54939023716736,40.55494831791456,1322,718,5,948,1673
29,-120.85386577066507,40.346886565763704,455,258,4,467,2188
30,-120.6228919375234,40.48352196842928,623,412,5,623,1990
31,-121.36746653162298,39.95861575169853,965,552,4,670,2149
32,-121.45596876982005,40.548467480251745,594,383,5,582,1572
33,-120.5526960527144,40.278658278433205,792,470,4,647,2316
34,-120.89991248997617,39.758565282619564,669,391,4,597,2285
35,-121.01971145905402,40.12256087014602,239,163,4,354,2120
36,-121.80502256736777,40.2574756767541,648,371,4,605,2485
37,-120.61794747781471,40.5365659947608,1404,820,5,1116,2889
38,-120.94130819723753,39.77957764924435,307,146,4,350,1762
39,-121.71059181331162,39.93465113159349,564,572,4,656,2873
40,-121.07623418513606,39.923787086300315,1636,701,5,1054,2667
41,-121.02670826913005,39.920792367569376,597,337,4,481,1787
42,-120.81158002765258,40.550936933394155,1238,758,4,1060,2658
43,-120.73647939488998,40.18835530035312,388,279,4,419,2789
44,-121.25746668944439,40.067284895464354,365,232,4,407,2392
45,-120.82916359876798,39.8480731068873,444,202,4,445,2293
46,-120.97935520424123,40.15780794601084,684,408,4,697,2693
47,-121.57349986265662,40.63618949383426,715,473,5,640,2153
48,-120.87810342144672,40.39994192108378,474,311,4,495,2231
49,-121.17629232907585,40.45376683562966,644,368,4,538,1852
50,-121.51767006577583,39.768552240773246,1,109,6,89,1
51,-121.20901676111222,40.13077919623057,536,422,4,683,4015
52,-121.02191833275867,40.598600526202596,521,306,4,423,1773
53,-121.12955045173652,40.31483049864315,210,108,4,270,1946
54,-120.59950789802217,40.06875773540908,523,301,5,440,1433
55,-121.46366813493619,40.0749784853499,547,339,4,575,2963
56,-120.83419501748394,40.350843678796004,952,537,5,739,2002
57,-120.97094773739592,40.411878519635785,375,278,4,470,2398
58,-120.7620127326705,40.38306912897861,1094,557,5,816,2097
59,-120.5478630632748,39.89021037980907,669,363,5,554,1943
60,-120.6790126588842,40.171992887052696,610,458,4,630,2786
61,-120.8890653706215,39.65115982964895,313,215,4,397,2377
62,-121.36543592372946,40.54659125587452,1176,747,5,935,1874
63,-120.94556753152816,40.58726838106499,1310,628,5,888,2558
64,-121.02417561400348,39.81750560821331,1058,543,5,726,1464
65,-121.0089651076637,40.22930870217564,576,346,4,555,1727
66,-121.80106182694918,40.18202830201627,1172,664,5,852,2309
67,-121.12984950691455,39.940070011928086,634,437,4,731,2512
68,-120.98954738496543,40.49958313508876,423,305,4,448,1937
69,-120.89073174522672,40.55376094370966,332,202,4,357,1756
70,-121.50212284101862,39.97367793728149,1154,668,4,889,3340
71,-120.79736563875782,40.168901090222015,200,145,4,394,2596
72,-121.11007359192635,40.47702521278236,242,149,4,238,2076
73,-120.93939284174746,40.05818859361987,255,157,4,331,2098
74,-121.00693040172546,40.48240849486878,398,241,4,370,1787
75,-121.44353066480599,40.22263745584526,1048,631,4,825,2425
76,-121.70351653594057,40.04277528350146,137,108,4,272,2317
77,-120.65527918595221,40.342579083350465,1019,626,5,787,1431
78,-121.14461316470171,39.66138089278552,976,422,5,625,1383
79,-120.55822189857653,39.74313845321589,546,255,4,466,1893
80,-121.5060357549117,40.31436081177496,731,421,4,671,3012
81,-120.7186630945783,39.711810051859345,1372,913,5,1168,1876
82,-121.17693831013453,40.48656739116291,549,400,4,536,1717
83,-120.69948324974989,39.70629633691226,189,159,4,442,4569
84,-121.18133190659698,39.69691853791818,892,487,5,673,1796
85,-120.94695368295625,40.51486842364415,1009,486,5,742,2433
86,-121.04442369890396,39.65523192282572,2146,886,5,1416,3504
87,-121.14732078443808,39.782419877609385,253,114,4,330,2141
88,-120.95181620363958,39.83075490747951,426,277,4,412,2137
89,-121.1716150505962,40.13812230544924,1,32,6,59,1
90,-121.30395961395269,40.30067357369291,289,234,4,406,2388
91,-121.74216090051749,40.46392367644134,1202,711,5,903,2818
92,-120.87647693103601,40.49656909112983,610,340,4,552,2569
93,-121.43443454462725,40.301161869003444,866,581,4,831,2496
94,-121.20310435266654,40.46986142933344,697,400,5,527,1686
95,-121.04211748509441,40.517871833471105,502,262,4,441,2194
96,-121.40983102427799,39.95929484023367,293,204,4,385,2402
97,-120.96106613056149,40.485391600996785,700,387,4,636,2192
98,-121.38171955984083,40.576548137031416,608,406,4,639,3074
99,-120.60877000997368,40.19929880205721,1152,715,5,1012,2257
100,-121.73003862420752,39.90828768487535,339,232,4,470,2463
101,-121.14332070221522,39.9699263180972,1578,845,5,1192,2710
102,-121.05908592939512,40.161604739096894,451,288,4,505,2251
103,-121.2098294592565,40.483118017293926,555,294,5,456,1598
104,-120.53977004955122,40.10290617432914,641,352,5,471,1787
105,-120.66136497797224,40.128487870368005,778,479,5,610,1542
106,-121.24247955137686,40.32119621951164,440,257,5,421,2100
107,-121.80007653730124,40.26454165324511,688,401,4,689,3296
108,-120.77139996478371,40.233894599542765,1134,599,4,886,2568
109,-121.55745364672288,39.920683967528845,386,214,4,434,2688
110,-121.48634964269073,39.940228635924065,921,498,4,702,2756
111,-121.80525924576885,40.002696126350116,1188,650,5,832,2177
112,-121.60074131745492,40.075904753510464,793,514,4,725,2391
113,-120.8042931819787,39.788596639161156,269,163,4,324,2142
114,-121.31659869145506,40.412294731958305,341,189,4,349,1637
115,-120.6389470529706,40.56726326945035,1282,772,5,1028,2596
116,-121.49905338222221,40.00156698487214,337,244,4,403,2025
117,-121.06793925175634,39.77328703572565,777,486,5,576,1066
118,-121.59795741757411,39.89108926155403,225,150,4,368,2275
119,-121.47654882534823,40.4845101826083,1012,638,5,772,2340
120,-121.61529833291998,39.86048507171688,288,224,4,473,3695
121,-121.46934255214875,40.464145712227875,595,264,4,448,1709
122,-121.15286288845542,40.032961479010865,744,431,5,694,2518
123,-121.54441610146422,40.214941431149036,724,311,4,554,2140
124,-121.6191419172872,39.907830841014004,160,146,4,222,1589
125,-120.876093773987,40.03524406309282,1062,603,4,909,2455
126,-121.1728763599624,40.270480190028664,17,125,6,117,14
127,-121.79631901310275,40.07810232226549,1324,670,5,944,2187
128,-120.80216705532851,39.800358048209695,682,391,4,611,2713
129,-121.58517702925685,40.15355475186816,392,242,4,506,2698
130,-121.2866241238452,40.358073284657515,278,207,4,355,1946
131,-120.99831259645957,39.71021349976085,839,446,4,660,1977
132,-120.95111169860608,40.34702933229384,1196,509,5,722,1958
133,-120.65717209904611,40.42386945695272,1064,766,5,981,2003
134,-121.68863187643464,40.23801687882707,186,131,4,289,2445
135,-121.08882373257899,40.07669657296773,649,452,4,730,3330
136,-120.6536224462708,40.47847532458222,483,282,4,450,1960
137,-121.18564104397957,39.76834029069762,1062,532,5,794,2137
138,-121.33944402091774,39.878035273240194,685,437,5,520,915
139,-121.52587878598584,40.13758956410651,275,234,4,368,2525
140,-121.80911099293309,40.446435192580424,854,548,4,689,2230
141,-121.47722535478673,40.19272561744063,243,180,4,352,2293
142,-121.29962056537585,40.379795646387564,693,424,4,640,2075
143,-121.71842366931234,39.89122192090257,921,543,4,758,2330
144,-121.16049658048306,40.0105605626978,989,631,5,902,1857
145,-121.30739396574475,39.78324393393204,1796,886,5,1290,2334
146,-121.24594408044112,40.27827762144608,641,332,5,491,1780
147,-120.68698844311795,40.085762551841384,624,483,4,653,2676
148,-121.68110475219454,40.23820160431644,372,217,4,437,2947
149,-121.28235500235454,39.65358975144281,1522,880,5,1202,2390
150,-121.2993890452328,39.81429937123582,498,306,5,473,2204
151,-120.87540594847432,40.320800112058826,571,290,4,551,2610
152,-121.7055405174025,40.02252687801167,143,132,4,274,2425
153,-121.62334330828331,40.33302346395009,338,233,4,364,2337
154,-120.81347232904035,39.6682294483808,204,105,4,277,2346
155,-121.12868274583413,40.33346406951533,563,290,5,494,2744
156,-121.79844740482694,40.20371328643241,1540,837,5,1114,2510
157,-121.01132836294146,39.80926793705565,641,280,5,469,1019
158,-121.17461230249499,39.91600861656921,314,232,4,447,3295
159,-120.77532326941626,39.937230234063655,505,237,4,451,2062
160,-121.28594169455576,39.94626735445608,533,357,4,725,4560
161,-120.86781305875358,39.96995899135829,592,349,4,536,2250
162,-120.7087281007149,40.429407230553,369,268,4,527,3020
163,-120.55412964963953,40.52856626139081,1056,651,5,815,1732
164,-121.43243398901193,39.67102922309809,2564,1508,5,2124,2883
165,-121.69591828310227,40.43377242750136,446,287,4,474,2789
166,-121.41347150943521,40.6127517838612,621,407,4,553,1797
167,-121.75083632691003,40.35843445999284,1332,681,5,949,2377
168,-121.74308928683688,40.18555755803047,1500,894,5,1118,2257
169,-120.71482502443965,40.61103636309594,715,489,5,618,1622
170,-120.58026448571154,40.537133692704934,496,266,4,469,1956
171,-121.47785259427306,40.09102182665906,448,301,4,458,2526
172,-121.68305824918501,40.34353852946041,302,268,4,520,3040
173,-121.43328868477795,39.890693021409,280,140,4,363,2079
174,-120.6106621002961,40.46246158881522,869,496,5,666,1590
175,-121.14177067716996,40.03143273320966,1104,800,4,1054,2569
176,-121.75893773712255,40.15383606850071,1194,752,5,1000,2200
177,-121.59825868469257,40.396053975538976,616,411,4,507,1876
178,-121.37661616350421,39.96775349108713,1726,1178,5,1344,2586
179,-121.34635221553391,40.487044331086175,529,286,5,456,1833
180,-121.47728092325761,39.93749715374678,271,210,4,432,3552
181,-121.81588584678069,39.67809551779838,597,460,4,865,5124
182,-121.65200254433987,40.572271680445894,242,219,4,382,2598
183,-120.8815336483597,39.95030127058413,1278,610,5,905,2603
184,-120.96868421401412,39.983753024669134,436,253,4,369,1493
185,-121.16980594132792,40.113679819762154,989,616,4,908,2940
186,-121.48650882456772,40.592472425860755,363,273,4,439,2076
187,-121.11417637622817,40.46952528907963,391,214,4,296,1561
188,-120.58679840974362,39.84039937535817,711,438,4,656,2540
189,-121.0080855381101,40.1268657577751,659,307,4,522,2382
190,-121.48455366811018,39.92083506814108,243,195,4,427,3275
191,-121.25759720184803,40.42430253114606,424,222,4,333,1641
192,-121.05168939453671,39.8980617972173,122,132,4,221,2486
193,-121.3102435704532,39.65706220277202,2754,2188,5,2466,3672
194,-120.75211655810092,40.088216447913354,122,92,4,243,1667
195,-121.05949012118134,39.79143469168455,974,601,5,854,1858
196,-121.1445060145626,39.64795509355248,1038,536,5,744,1435
197,-120.61737639199063,40.549345194863186,429,319,4,615,3886
198,-121.33541023633445,40.29923864744001,299,208,4,304,1911
199,-121.75123713195207,40.540595875187016,731,454,4,618,2221
200,-121.08971243734953,40.05328827081649,258,196,4,372,1917
201,-120.95648425093015,39.74020583106011,440,271,4,390,2394
202,-121.26139230895694,40.290492371933254,1374,721,5,966,1984
203,-121.54368988153198,39.66391864655148,673,327,4,668,2506
204,-121.45954509156195,40.12780704250054,328,221,4,422,2601
205,-121.45646083140124,40.640089149685245,800,519,4,699,2264
206,-121.21252500191014,40.15813016638638,1272,688,5,1016,2800
207,-121.24360998349749,40.55849561108211,302,220,4,347,1718
208,-120.75280540878154,39.99589238356096,218,161,4,296,2448
209,-121.34289572022676,40.01133101004414,1032,631,4,910,2190
210,-121.00163396591525,39.913966425775534,197,125,4,336,2788
211,-121.02523398056456,40.23165949379946,1392,602,5,967,2364
212,-121.74495128413123,40.49143058514158,631,386,4,650,3024
213,-120.66493089767302,40.19909466342497,526,374,4,613,3007
214,-120.83716951685167,40.555742835814385,576,332,4,444,2154
215,-121.22771121386495,39.77583763972879,895,402,5,637,1505
216,-120.78590817907235,39.88112831302265,1394,554,5,802,2149
217,-121.12103920237234,40.379823747157054,416,268,4,397,1892
218,-121.69438341602019,39.962308975132515,182,150,4,304,2962
219,-121.60596772486615,39.81316312956004,725,367,4,599,2886
220,-121.6224330847677,40.545167486685195,307,274,4,433,2829
221,-121.76946258937316,39.94105707251348,666,393,4,586,2543
222,-121.19939808305439,40.586370846060625,376,256,4,516,2591
223,-121.39886552966924,39.972657722485714,385,327,4,571,3078
224,-121.43048693884462,40.27345137353014,292,240,4,388,1894
225,-120.67694481883098,40.57515014555667,611,378,5,573,1973
226,-121.01688106846572,39.689090202875946,173,133,4,332,3459
227,-120.86514761627619,40.34754585330943,893,560,5,753,2096
228,-121.31861976886769,40.487274693706524,510,307,4,479,1974
229,-121.41798374890857,39.98652421737977,473,302,4,432,2306
230,-121.5114618078069,39.79117693173071,1462,749,5,1228,3234
231,-121.20898120001254,40.44400851946777,385,231,6,390,1246
232,-120.60239787884443,40.0298114405967,993,633,5,793,1899
233,-121.53675417157666,40.05736595378231,283,221,4,384,2281
234,-120.67862649866711,39.95893603120838,278,167,4,325,1951
235,-120.65519522120628,40.225922373330896,778,453,4,653,2182
236,-120.62292976162401,40.096536207712994,918,565,5,736,2062
237,-121.03676681347909,40.37743238075347,599,354,4,581,2330
238,-120.96237720762828,40.010758783993765,669,319,4,543,2250
239,-121.5419727694332,39.75660703796542,763,415,4,659,2438
240,-120.75738265972862,39.76959130753808,280,197,4,407,2381
241,-121.27859163156747,40.38218701036475,350,235,4,402,2136
242,-120.82631067312506,40.100803732472265,1466,660,5,1042,3182
243,-120.76191239349352,40.06129064542548,725,486,4,599,2364
244,-121.71945897802182,40.49169142325404,466,326,4,485,2642
245,-120.64217963889284,40.011169962832156,660,422,4,600,2128
246,-121.5490890862681,39.76237230398296,948,451,4,778,3271
247,-121.35538141151012,40.18394137724448,492,323,4,595,2562
248,-121.50491525585981,40.12470805439114,372,260,4,429,2266
249,-121.19953674120562,39.91585786896506,443,314,4,520,2612
250,-121.17228232231892,40.28380354662932,30,138,6,169,19
251,-121.70449328903112,39.947736988029355,825,480,4,648,1631
252,-121.32308373296215,39.68040300954265,684,289,5,441,1153
253,-121.34429279094697,40.12306314861442,232,183,4,182,1524
254,-121.44067057724898,39.672851971382144,2444,1484,5,2078,3276
255,-120.7660844518612,40.441610166150646,525,309,4,475,2359
256,-120.55035077052338,39.81702352216317,560,321,4,537,2111
257,-121.0450183985363,39.749839493028425,761,417,5,564,1126
258,-121.78138017768738,39.896045040672284,1100,478,4,750,2786
259,-120.78780294560818,40.27159382893766,972,554,5,766,1887
260,-121.43265390134053,40.56580995262703,521,331,4,573,2709
261,-120.92666028959842,40.1146257494312,774,404,4,608,2703
262,-120.6709897393419,40.590163171223246,919,562,5,743,1757
263,-120.94630168777779,39.949034800987775,129,20,4,241,2389
264,-121.7431284478772,39.99852522603121,590,354,4,549,2773
265,-120.7867710248667,40.090145269523326,168,107,4,341,2093
266,-121.52697958389349,40.37408736961334,891,655,4,839,2052
267,-121.49005629944295,40.53981954815734,476,358,5,427,1983
268,-121.33843034984275,40.4972903822101,835,562,5,712,1904
269,-121.22951879587,40.17739992511179,816,449,4,698,2754
270,-121.58245489945794,39.75206316228785,696,281,4,557,2054
271,-121.03193189593242,39.971241170791124,128,88,4,258,2388
272,-121.41844381769339,40.30067406575478,465,275,4,462,1944
273,-121.17548093006526,39.68880832862683,555,296,5,403,1186
274,-121.48273503851229,40.19324842389223,912,543,5,852,2359
275,-121.13946682313724,39.84418759096538,323,222,4,408,2141
276,-121.73342411976499,40.52085323235668,1001,602,5,841,2421
277,-121.28771213918847,40.5751926139156,366,228,4,355,2042
278,-120.96877681726099,40.597317558594355,1306,682,5,913,2075
279,-120.96435230926593,39.90475920862515,545,392,4,786,3792
280,-121.33377691740098,40.24597345459403,1154,567,5,851,2161
281,-121.5408130196713,39.73965430760004,946,407,4,674,2404
282,-121.73711469288098,40.3932398001047,1216,701,4,915,2458
283,-121.2453146881422,40.143226729263574,1296,767,5,998,2232
284,-120.84626830613166,40.182073003227764,280,210,4,503,3417
285,-120.9704422428752,40.228369090731285,586,319,4,568,2349
286,-120.98206448085847,40.129748303655255,550,302,4,555,2150
287,-120.92286289700449,40.304546496367145,841,509,4,793,2228
288,-121.69792695110799,39.6697148939613,1100,521,5,812,2583
289,-121.69538478759036,40.44917135042127,209,171,4,382,3344
290,-120.90252758508227,40.166800986612714,612,413,4,538,2137
291,-121.20568733941802,40.04757548631678,1314,744,5,1066,2532
292,-121.27952242003632,39.795807495163615,647,317,5,401,1122
293,-120.9651946683519,40.15233488211465,271,145,4,349,2194
294,-120.77521984085237,40.23928302039181,752,463,4,688,2476
295,-120.88949184432988,40.018822893852665,362,223,4,446,1704
296,-121.2599069427589,40.03128557309593,290,208,4,500,3234
297,-120.9638046482895,40.54696521439289,553,315,4,460,2017
298,-121.5308275335748,40.00575810510734,532,281,4,572,2953
299,-121.64445629536,40.165975872886484,1110,744,5,877,1480
300,-121.68743345874819,40.07457719936124,633,392,4,572,2032
301,-121.00417953634718,40.3920083335933,504,312,4,506,2172
