Index,long,lat,LUC,blue,green,red,nir,swir16,swir22,ndvi,ndwi1,ndwi2
0,646120,4471599,4,363,542,754,1115,2141,2069,1931,-3151,-2996
1,653880,4419970,4,448,552,738,1062,2328,2275,1800,-3734,-3635
2,640800,4484280,5,432,645,872,1534,2059,1696,2751,-1461,-501
3,611920,4436859,4,312,507,533,1952,1694,977,5710,707,3328
4,647780,4461450,5,394,650,1044,1454,2629,2482,1641,-2877,-2611
5,607000,4449109,5,910,1170,1550,2100,3150,2464,1506,-2000,-797
6,699869,4493400,5,1011,1148,1224,2526,2657,1946,3472,-252,1296
7,610629,4478430,4,171,383,243,2980,1159,571,8492,4399,6784
8,624900,4401760,4,330,554,582,2556,2456,1746,6290,199,1882
9,641999,4415539,5,429,576,802,1067,2388,2354,1417,-3823,-3762
10,658559,4426070,5,440,752,1050,1619,2580,2358,2131,-2288,-1858
11,633049,4462360,4,502,646,730,2194,1936,1286,5006,624,2609
12,631420,4425799,4,607,834,828,2602,1551,924,5172,2530,4758
13,692690,4451119,4,244,450,529,1356,1927,1510,4387,-1739,-537
14,691840,4429719,4,97,279,378,1438,1450,1142,5837,-41,1147
15,671029,4426869,4,1,40,74,1415,842,389,9006,2538,5687
16,662939,4435420,4,582,772,1060,1232,2594,2750,750,-3559,-3812
17,657349,4437340,4,276,610,523,2352,1675,1228,6361,1681,3139
18,602609,4439610,5,426,651,791,2220,2323,1603,4745,-226,1613
19,672419,4490459,4,247,405,465,1590,1292,830,5474,1034,3140
20,669970,4453260,4,428,554,831,1247,2225,1986,2001,-2816,-2285
21,647490,4451499,5,525,836,1038,1989,2409,1891,3141,-954,252
22,681759,4479990,4,184,394,402,1803,1502,983,6353,910,2943
23,685300,4491210,4,425,694,928,2410,2161,1650,4439,544,1871
24,697629,4449430,4,695,958,1338,1722,3360,3552,1254,-3223,-3469
25,705550,4491230,5,708,884,1042,1622,2158,1817,2177,-1417,-567
26,668199,4462799,4,238,400,396,1708,1804,1123,6235,-273,2066
27,703149,4454689,4,130,350,323,1680,1810,1307,6774,-372,1248
28,701770,4489220,4,576,747,771,2042,1743,1242,4518,789,2436
29,660199,4482420,4,466,694,1016,1651,2319,1797,2380,-1682,-423
30,704540,4395210,4,38,250,247,1598,867,517,7322,2965,5111
31,652230,4446839,5,710,1110,1314,2752,2479,1780,3536,521,2144
32,625910,4489360,4,216,486,362,2588,1309,784,7545,3282,5349
33,630739,4489780,5,268,467,616,1473,2056,1723,4102,-1652,-782
34,630999,4437210,4,324,573,678,1905,1977,1374,4750,-185,1619
35,700410,4434550,5,136,427,282,2379,1808,1193,7880,1363,3320
36,709490,4401389,4,124,357,397,1859,1341,810,6480,1618,3930
37,701239,4431660,4,244,430,543,1354,1423,1066,4275,-248,1190
38,629149,4450310,5,168,358,514,1586,1908,1286,5104,-921,1044
39,644690,4406619,5,382,596,799,1393,2122,1713,2709,-2073,-1030
40,627980,4434930,4,346,484,712,1040,2310,2300,1872,-3791,-3772
41,649470,4445129,5,449,694,810,2298,2820,2269,4787,-1019,63
42,631249,4443079,4,232,396,362,2136,1423,805,7101,2003,4525
43,696630,4494190,5,714,932,976,1888,1714,1263,3184,483,1983
44,633750,4487470,5,2200,2448,2470,2922,2010,1637,838,1849,2818
45,653209,4438670,4,514,726,1010,1755,2749,2093,2694,-2206,-878
46,670420,4404440,2,1190,1384,1602,2082,2491,2263,1302,-894,-416
47,700160,4397260,2,1,142,152,1,83,101,-9869,-9761,-9803
48,704579,4433820,5,670,926,1023,2324,2572,2321,3887,-506,6
49,697090,4495870,5,696,876,996,1863,1830,1440,3032,89,1280
50,649319,4464890,5,207,422,503,1584,1686,1211,5179,-311,1334
51,627870,4488770,5,287,502,606,1725,1747,1215,4800,-63,1734
52,655610,4457099,6,334,478,330,266,289,270,-1073,-414,-74
53,673860,4494970,5,547,826,968,1938,2376,1653,3337,-1015,793
54,689459,4479170,4,404,648,630,2286,1745,1161,5679,1342,3263
55,668000,4455340,5,225,594,577,2079,2178,1598,5655,-232,1308
56,629509,4420070,4,162,436,264,3232,1616,778,8489,3333,6119
57,657509,4397319,5,282,678,771,1986,2700,2225,4406,-1523,-567
58,655400,4403620,5,314,710,766,3156,2680,1985,6093,815,2277
59,627799,4490750,4,458,679,791,2778,2128,1381,5567,1324,3358
60,686670,4407250,4,14,204,128,2034,761,366,8815,4554,6949
61,628070,4494620,4,172,392,367,2213,1264,670,7155,2729,5352
62,693529,4415650,4,205,430,512,1712,1701,1059,5395,32,2356
63,701480,4484140,5,618,838,934,2002,1983,1501,3637,47,1430
64,683930,4468950,5,668,974,1194,1971,2312,1910,2454,-796,157
